Общая стоимость товаров,Общая сумма заказа,ID товара,Наименование,Артикул_x,Свободно,В резерве,Ед. изм,Цена закупки,Валюта цены представление,Артикул_y,Id,Количество товаров
4000,4000,154910628,подписка на электронную версию журнала «системный администратор» 01-12/2020,samag-el-2020-01-12,,,шт,2200,,samag-el-2020-01-12,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
1124,1124,163123427,"книга ""основы силовой электроники, 2-е изд.""",B-NIT-890,,,,380.58999999999997,,,,
1124,1124,163120999,"книга ""силовая электроника. расчеты и схемотехника, 2-е изд.""",B-NIT-891,,,,405.50999999999999,,,,
5501.6000000000004,5864,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
780,1142,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
5501.6000000000004,5761,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
2590,2590,148074050,набор arduino starter kit с rfid,lc1382,,8,шт,1960,,lc1382,,
6490,6740,148726626,корпус для raspberry pi 4,RPI-4B-case,,,шт,1052,,RPI-4B-case-RW,,
6490,6740,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
4290,4290,148073982,одноплатный микрокомпьютер raspberry pi 4 (2gb ram) (2 гб),RPI-4B-2GB,,,,,,,,
699,699,148073814,электронный конструктор nd play проектор,NDP-055,,,,,,,,
1124,1124,163123427,"книга ""основы силовой электроники, 2-е изд.""",B-NIT-890,,,,380.58999999999997,,,,
1124,1124,163120999,"книга ""силовая электроника. расчеты и схемотехника, 2-е изд.""",B-NIT-891,,,,405.50999999999999,,,,
5840,5840,148073820,"книга ""arduino и raspberry pi в проектах internet of things. 2-е изд.""",lc1056,,,,,,,,
5840,5840,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
2590,2855,148074050,набор arduino starter kit с rfid,lc1382,,8,шт,1960,,lc1382,,
2080,2442,148073968,настольная игра битва големов,lc1281,,,шт,1500,,lc1281,,
6170,6170,165157248,импульсный блок питания ginzzu ga-3311ub,,,,,498,,,,
6170,6170,165157828,кабель usb a — usb type c,,,,шт,314,,249187,,
6170,6170,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
5290,5540,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
901,901,148073734,"книга ""алгоритмы. руководство по разработке. 2-е изд.""",lc949,,,,700,,,,
5290,5540,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
4000,4000,154910628,подписка на электронную версию журнала «системный администратор» 01-12/2020,samag-el-2020-01-12,,,шт,2200,,samag-el-2020-01-12,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,4460,,,,
1655,1655,159980461,ubuntu 18.04 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),ubuntu-1804-DVD-64L,,,,,,,,
5293.6000000000004,5553,148073861,электронный конструктор матрёшка z,AMP-S010,,,,3652,,,,
